p1.07 | e o t [of] a _ e e d _ y t w c ? o _ _ w _ c e n [and?] m _ m _ _ o u? e [of] [this] | ...(n)ot? of a ... (largely unread: "e o t of a" then "...w c... cen(t) and m... of this"); ǂ read as o (fits p1.05 "the Constable took")
p1.08 | ? ? w n _ e ? [where] [where?] [Carew] [Carew] [clear: requyred that] [the] r a n d? [of] [the rebels] [none] [none]? s e t ? p? o y | ... where Carew required that the ran(d?) of the rebels ... set upo(n)? (ω after 'ran' may be ·ω·=d not ꝏ; Aꝭ written twice)
p1.09 | _ ? d [have] [Emperor?] w a g a? _ _ c [Carew] [the] i? [of] [Emperor?] [were] o ? ? _ _ i _ _ [and] o n [the Constable] [should] [it] | ...(ha)d have ... Carew the ... of the Emperor(?) were ... and on(e?) the Constable should it ... (Ȯ read as Emperor, uncertain)
p1.10 | [was] [of] [the] u? s x? [of] [should] p c c n t _ [Monsieur de?] r _ [?] [to] k [the rebels] [Carew] [the] i _ i [of] [the] m? p? w | was of the ... of should ... Monsieur de ... to (ta)k(e) the rebels, Carew the ... of the ... (F read Ⅎ=u; ¥ = x per key)
p1.11 | i _ t d e a x? [and?] [to] k [to] w? ? ? e [where] a _ n e y e ? _ e o c a m _ _ p | ...(ha)d ... to k(eep) to ... where a(ny) (mo)neye(?) ... (∴ taken as null)
p1.12 | l e w? [of] [to] _ x x [Carew] u? _ e t _ o c n n _ _ e [this] [to] p [where?] [where?] _ r _ ? c [to] | ...le of to ... Carew ... this to p... (4 = x unresolved; ɱ̄ vs ɱ unclear)
p1.13 | [will] s i t? f _ i i c ? y e d ? [treaty?] [the Constable] [the Constable?] e ǂ? ? _ c e n ? d _ o? w [the] | will ... ✱ before ⊓̊⊓ may be the code "treaty" not the null; the Constable (sign written twice?) ... the
p1.14 | y i _ ? e [of] ? i ? ? t ? _ ? a g _ ? ? _ t a k o e n c i ? c p | ... of ... ag... tak(e) ... (unread)
p1.15 | o ? ? a t e _ c m o w ? [and] ? _ n w o ? ? a ? t _ ? ? e p t [the rebels] y _ | ... at ... (ac?)cept the rebels ...
p1.16 | [clear: finallye] [Carew] ? a [and] _ ? ? e ? ? _ ? y i ? [my] o [have] [were] ? n d c ? s y d ? [and] [that] | finally Carew ... my ... have were ... and that (unread middle)
p1.17 | [Carew] [the] d? ? a n g e _ e s [your highness] [it] c [to] w ? e [to] e _ t t _ e m p t? [of] a g [where] | Carew the (d)angers(?) your highness it ... to ... to attempt of ag(ainst?) where ...  ("attempt" solid)
p1.18 | _ _ n _ t ? ? ? o ? e r ? ? o e ? ? c _ y [Monsieur de] a c ? o n ? a ? n c e | ...(no)t ... ... Monsieur d'A(n)c... ? (unread)
