target,symbol_kind,system,distinct_symbols,documents_llm,documents_all,tokens_llm,measured,glyph_file,image_quality,outcome,transcription_notes
adrian1521,letters and symbols,"Mixed nomenclator: two- and three-letter code groups for words and syllables with initials in plaintext-alphabet blocks, plus a homophonic alphabet of letters, figures and signs.",unknown,1,1,unknown,False,transcription.txt,poor,already solved,"--measure gives 1312 whitespace tokens / 575 distinct, but sign runs are written as single {braced} tokens and clear words are mixed in, so the enciphered-token count is not known. Several sign readings still rough; alphabet homophones not separated."
andreae1616,symbols,"Simple substitution in an invented type-cut alphabet, words divided, for two inscriptions; two further lines of alchemical and numeral signs give dates.",19,1,1,156,True,ciphertext.txt,fair,already solved,"Letter inscriptions only; the two symbolic date lines (about 10 signs each) are described in NOTES, not transcribed. The three dotted variants for M/N/O were assigned with the plaintext in view."
augurelio1535,letters and symbols,"System A' of KAA 4591: homophonic graphic/numeral cipher, no word division, several two-valued signs, two ligatures (h, sp) and the word sign X = F.G.; key rebuilt from the R9410 gloss key by shape, then by EM and supervised alignment.",50,1,1,4363,True,pass2/transcription.txt,good,read,"Second pass: all cipher pages re-transcribed one char per sign (pass2/transcription.txt, 4,363 signs, clear Latin and numerals excluded). Image P6 (f.235r, 36 lines) IS on DECODE; it was fetched 22 Sept 2026 and is the straight photograph of the leaf that the first pass saw only at an angle as the ""f.234 column"" (P4a)."
ayala1516,symbols,"Simple substitution of invented signs for Spanish letters, with a few name and word signs (Xebres, que).",unknown,1,1,unknown,False,,fair,already solved,"Deciphered line by line from the images without a separate sign transcription, so no token count; lower half of AGS 0003 faded with show-through."
bayard1526,letters and symbols,"Graphic-sign cipher, 56 signs of 29 kinds in a 17th-c. copy; same sign pool as the Raince and Calvimont alphabets of 1525-26, values unknown.",29,1,1,56,True,signs.txt,good,not read,Graphic signs imitated by a 17th-c. copyist; three lines on f. 84r.
benedict1399,symbols,"Simple substitution, one invented or letter-shaped sign per letter (20 values: a hook, b T-bar, c and i a single o, o a double loop, d double cross, e delta, f flagged sigma, g 4-shape, h 2-shape, l looped d, m footed epsilon, n n, p inverted T, q double-barred upright, r upright stroke, s T, t c with superscript, u/v joined cb, x alpha-shape), signs joined by hair-lines with no word division, mixed into clear Latin; a dotted V for the King of Aragon; groups of lambda/z-like signs as null separators at sentence breaks. Rebuilt from the p. 475 facsimile against Puig's text (key.md).",unknown,1,3,unknown,False,,poor,already solved,"Eleven ciphered letters of Benedict XIII in Puig's appendix (XXVI, XXVII, XXXV, XXXVI, XXXVII, XXXIX, XLI, XLII, XLIII, LII; the Jafet note), treated as one set. About 2,200 deciphered words. The plate check covers the only imaged page."
bethune,letters and symbols,"Villeroy-office cipher: letters as figures and letter-shaped symbols with homophones, marked letters (comma, one or two dots) for words in alphabetical series, two-digit figures for names and syllables.",unknown,3,3,2849,False,corpus_v2.txt; ct_22nov.txt; ct_f33_v2.txt,fair,read in part,"About 480 symbols in four blocks per NOTES; corpus_v2.txt pairs them with plaintext, so not measured. | Counted by a scratch script over the token field (the --measure line mode also counts the line labels and bars: 992/63). Three glyph families (g, m, r variants) are not separable at the available resolution; the transcription caps decoding at about 71 % of letters. | 80 cipher runs; counted by a scratch script over the token field (the file has label columns)."
birago,digits and symbols,"Probably two-digit homophonic figures for letters with marked one- or two-digit code groups, a wavy inline word-sign and null letters; not established.",62,1,1,483,True,ct2.txt,good,not read,"Tokens are single digits (483); the 18 distinct include marked digits. NOTES also record 15 null letters and 9 wavy signs. Under the best design the digits pair into 228 tokens over 62 symbols. Corrections to Tomokiyo: wavy sign standalone, marks over single digits (two unrecorded), a phantom '12', one missing 1."
bizozola1520,symbols,"Letter substitution with invented signs, words spaced, a few homophones and one sign serving a/u and one f/s (Lasry key).",unknown,1,1,1914,False,cipher.txt,good,read,"1914 signs transcribed, all 66 lines of the four pages (non-space characters of cipher.txt; _check_profile --measure counts space-separated words or ASCII letters only, neither fits this code)."
bordeaux,digits and symbols,"Letters as graphic signs and plain numbers 15-37; three diacritic-marked number series (prime, two dots, overbar) are alphabetical CV syllabaries with common words embedded; a few name codes.",156,1,1,813,True,ct2.txt,good,read,The provisional transcription merged two glyphs and dropped diacritics; that alone defeated the ciphertext-only solver.
buda1489,letters and symbols,"Italian monoalphabetic-homophonic cipher of letter-like signs, figures and marks, with vowel homophones, nulls, geminate and syllable signs and a small nomenclator.",unknown,3,3,469,False,trans/r1098p1.csv; trans/v267.csv,fair,read in part,"Only p. 1 ll. 1-10 (564 signs) were transcribed to tokens; the rest was read by eye from crops, so no full sign count exists. Lines 1-2 reproduce Somogyi exactly. Page 4 has two cipher lines, then a clear postscript. | Count from NOTES (agent's 469 signs); the CSV mixes clear and cipher rows, so not measured. Agent pass conflated z/3, d/ð, s/ſ, u/v; second pass by eye on raw crops. | Calibration letter: aligned with its clear extract to pin glyphs to Somogyi's numbers."
burghley1559,digits and symbols,Cecil's 'new ciphre' of Sept 1559: a sign for a person (② = Earl of Arran) and signs for a sum (+ H oo = 200 crowns); only two groups used. Randolph's key R4851 (31 Aug 1559) in the same volume does not contain them.,unknown,2,2,12,False,transcription.txt,good,already solved,Only two cipher groups: the sign ② and '+ H oo'; the transcription file holds the ciphered sentence with its clear words. | No cipher found on either page; the letter is wholly in clear.
burghley1572,digits and symbols,"Numbered code groups with sign affixes, used in two short spots of an otherwise clear letter; key unknown.",unknown,1,1,4,True,cipher_groups.txt,good,not read,One cipher line on f.143v; signs and numbers mixed.
caprile1519,symbols,"1520-21: homophonic substitution of about 49 invented signs for Italian letters, no word division, a null filler sign; 1519: a two-tier sign cipher; Cistarelli: two-digit figure cipher.",49,4,5,2284,False,caprile1519/caprile1521_transcription.txt; caprile1519/r1137_transcription.txt,fair; good,read in part,"Counted from the label transcription by script (labels, before merging m+ and n+); one reader only. | Faint; first line cut at the top. | Used with V1920 (not on DECODE, 462 signs) as the crib. | 584 numeric groups and 83 other signs; group boundaries inferred (no spaces)."
caracciolo1537,symbols,"Luo's Cifrario 38: homophonic sign alphabet plus consonant base signs with superscript vowel digits (5-9 = a e i o u), nulls with superscripts 2-4, a few code words.",unknown,1,1,unknown,False,,good,read,"Deciphered line by line from the images without a separate sign transcription, so no token count; the writer's cancelling strokes cross lines 1-11."
clair357,digits and symbols,"Homophonic two-digit figure substitution in a continuous stream with a few nomenclator signs and nulls, dropping into clear in places.",unknown,1,1,unknown,False,,good,read,No ciphertext transcription file was made; only sample runs were decoded against the glosses.
cobham1588,letters and symbols,"Substitution in Greek-like letters and signs with homophones (o, l, r, i, u), shared signs (s/t, r/y), nulls and a few code signs, set into clear English; the same system as the glossed March-April 1588 Cobham letters.",unknown,4,4,unknown,False,,good,read in part,"Cipher passages set in clear English; fragments only. | Densest cipher of the four; not transcribed at sign level. | About 8 cipher lines on f. 92r. | Scattered cipher words, Bourbourg."
cocquet,letters and symbols,"Letter shapes, ligatures and a few figures in nine short runs inside clear French; system not established.",unknown,1,1,unknown,False,,good,not read,"No labelled transcription made; NOTES estimate about 150-170 glyphs in nine runs, segmentation uncertain."
conti1649,letters and symbols,"Nos. 41-42: poly-homophonic lower-case letter cipher without nomenclator; no. 43: numeric letter-and-syllable code with four interleaved alphabets, five-syllable blocks and nulls 99-250.",unknown,2,2,264,False,n43/opening_c245.txt,good,read,"transcription.txt mixes cipher letters with bracketed clear words, so no cipher-only count was measured (2,328 letters including clear words). | Count is the unglossed opening only; the glossed body adds about 3,300 groups (READING43.md), not measured."
copenhagen,digits and symbols,"Three lines of digits, letters, dotted strokes and carets (20 or 25 symbols); not a simple substitution of any of ten languages tested.",20,1,1,107,True,cipher.txt,poor,not read,"Measured 107 = 103 symbols + 4 long strokes (sentence dividers); distinct 21 includes the stroke, 20 symbols in the merged reading. The two readings agree except for splits of dotted strokes and carets."
debosnys,symbols,"Composite invented glyphs, about 333 types in 969 tokens; line lengths and couplet rhymes point to a French syllabary, not proven.",333,3,3,975,False,,fair,not read,"20 lines; line 12 under a stain. Counts from NOTES; transcription kept in a .py file. Glyph identity decisions are the weak point. | 25 lines, plus 40 pictograms, clear initials and the numeral 516 not counted. | 4 lines incl. 6 pictograms, above a clear French poem."
dinteville1592,letters and symbols,Letter-and-sign substitution with apparent code signs for words; a one-sign-one-letter homophonic mapping does not fit the f. 128 crib.,unknown,2,2,unknown,False,,good,not read,
dubellay,symbols,"'Bayonne's cipher' of 1529: homophonic symbol alphabet with 2-5 signs per letter, a few nulls and word signs (roy, madame, bien, fault, paix, le Cardinal).",unknown,3,3,unknown,False,,fair,already solved,"Eight cipher lines, about 190 signs (NOTES estimate); glyph reading at 4,262 px is the limit. | Used only to align signs with the interlinear reading to re-derive the key. | Only the first cipher lines of p. 113 read sign by sign, as an independent check."
ducroc,letters and symbols,"Symbol cipher of Latin letters, a few digits and graphic signs (40 distinct), with sparse dots of unknown function; system not established.",40,1,1,166,True,ct.txt,good,not read,"Measured 166 tokens / 41 distinct include 19 dots; without the dots 147 tokens / 40 distinct, as in NOTES. Several glyph identities uncertain (ticks, hooked G, y/ȥ); not checked by a second reader."
egmond,symbols,"Graphic letter substitution with nulls, paired-stroke compound letters and u/v shared; inferred from the letter and its address.",unknown,2,2,774,True,address_complete_tokens.txt; body_complete_tokens.txt,good,read,"Sixteen lines and two insertions; 726 labelled signs. Variants retained; blotted date u and left-bar x are marked M. No independent key or clear copy. | Three lines, 48 compound signs/nulls; address_audited.json records shapes and values. No personal name in the address."
esp318,letters and symbols,"Secretariat ciphers of Ferdinand: homophonic sign alphabet interleaved with three-letter CVC nomenclator groups, a different key per letter.",unknown,5,5,1979,False,ct93_eye.txt,fair; good,read in part,Only nomenclator groups checked against Parisi on the leaf. | Only glossed groups and a specimen line transcribed. | Transcribed as a character stream in which the CVC code groups are split into letter signs; covers lines 1-21 of f. 118r only. | Not transcribed; code groups sampled only. | 963 glyphs on 31 lines of f. 122r (NOTES); f. 122v (five lines) not done. Touching signs defeat segmentation for about a third.
estrada1503,letters and symbols,"Cifra general de los Reyes Católicos (Galende Díaz 1994): homophonic sign alphabet interleaved with two-to-four letter code groups (v-, x-, y-, z-, b-, c-).",unknown,1,1,unknown,False,,poor,read in part,"Read into reading_X.md directly (codes with values, letter runs as plaintext, [..] for unread runs); no sign-level token file, so the length is not measured. About 480 code-group tokens counted in reading_X.md."
florence1414,letters and symbols,"Homophonic substitution on invented signs and Latin letters, with three word signs (per, et, che), as rebuilt by Gabbrielli from a few words; the full system (nulls, nomenclator) is unknown.",38,1,1,unknown,False,,no images,offline only,"No images of the letters are online (DECODE, Yale Ilardi reels, ASF PAD all checked 23 Sept 2026). 'cleartext_in_document: interspersed' is the norm for Florentine ciphered despatches of the period, not an observation."
florence1429,symbols,"Homophonic substitution on invented signs with nulls and a small nomenclator of names and words, used inline in clear Italian, plus clear cover-words.",unknown,1,1,110,False,,good,read,"No clean sign-only ciphertext file: TRANSCRIPTION.md and READING.md mix clear words with bracketed signs, so the count (about 110 signs in about twenty runs) is taken from NOTES and not measured. Several clear words remain palaeographic guesses."
fr3029f134,symbols,"Simple substitution with invented signs (one per letter, O with two forms), words spaced, six null signs and five name/place signs (Lasry key).",unknown,1,1,926,True,withheld: signs.txt,good,read,"926 letter signs (measured on signs.txt, now withheld); plus 49 nulls and 9 name/place signs: 984 signs in all."
fr3092,symbols,"Simple substitution with invented signs (one per letter, O with two forms), words spaced, six null signs and five name/place signs (Lasry key).",unknown,3,3,4521,True,withheld: signs.txt,good,read,"1252 letter signs (measured on signs.txt, now withheld); plus 10 nulls and 2 name signs. | 1568 letter signs (--skip '^10[17]'); plus 1 null, 8 name signs; two blotted signs struck by the writer not counted. | 1701 letter signs (--skip '^10[134]'); plus 4 nulls, 3 name signs."
gallica_sweep/mondoucet,letters and symbols,"Homophonic substitution of invented and letter-form signs (one glyph per letter, 24-letter alphabet) with a few digraph and word signs and nulls, inline in clear French.",55,3,3,7293,True,f1573/ct/blk2.txt; f1573/ct/f126v_127_v4.txt; hand/ct_f60.txt,fair,read in part,"Measured with --drop-first: ct_f60.txt 875 (less 3 bracketed clear words = 872), ct_f60v.txt 44, ct_f61.txt 166; total 1,082 cipher glyphs including nulls. distinct is ct_f60.txt's. | --measure --drop-first gives 1,834 tokens; less 358 word separators '/', '.' and bracketed clear words = 1,476 (NOTES: 1,468). distinct 57 includes '/'. Corrections: 20 glyph edits in the v2 strip re-check plus 4 kept in the v4 constrained pass; 52 signs re-marked as alpha in v3. | Two files: f135r.txt 558 tokens less 117 separators = 441; blk2.txt (ff. 135v-137r) 5,510 less 1,216 separators = 4,294; total 4,735, as in NOTES. Tail f. 137v (c. 21 lines) not transcribed; its decipherment is on f. 141r."
gramont1529,digits and symbols,"Four separate keys, each a homophonic substitution on graphic signs (two to seven homophones for common letters) with doubled-letter signs, a few nulls and a handful of code signs for persons (Mâcon's as numerals 20/30/40).",unknown,4,4,4002,False,aliases/f45r.txt ... aliases/f47v.txt,good,read,"11 cipher lines (NOTES); no glyph-alias file kept, so the sign count is not measurable. | Count measured with _check_profile.py --measure --letters on the six alias files concatenated (f46r's L01| line labels stripped): 4002 signs, 37 distinct. Flagged measured false only because no single file holds it. The site's 'about 7,000 signs' is not a measured figure. | 14 cipher lines (NOTES); no glyph-alias file kept. | About 45 lines mixed with clear text. The alias files mix line labels, clear-text brackets and {code} groups, so no clean count was measured."
guiche1551,symbols,"La Guiche: a simple substitution of 22 invented signs for the 22-letter alphabet, no word division.",22,1,2,406,True,guiche_ct.txt,good,read in part,First two lines struck through by the writer. The + versus barred-+ distinction may be conflated.
guise1587,symbols,"Homophonic substitution (2-7 signs per letter: cursive letter-forms, digits, Greek-like signs) plus a small nomenclator of ff-ligature groups for common words and digit groups for names; no word division.",unknown,2,2,2484,True,f119_reading.txt; f142_pinned.txt,good,read,"44 lines wholly in cipher, no word division. | Seven clear lines, then 16 lines of cipher; several similar signs merged under one label at first pass."
