# p2.17-p2.32, full-resolution image pass (img/p2.jpg crops). Format: line | corrected tokens || reading
p2.17 | S+ d F . x CURL_D #/ xh -8 ct AND [declaredde unto him your highness pleasure concer-] || a [?2] place and [declaredde unto him your highness pleasure concer-]
p2.18 | [-ning] q . G . q+ AND n OMEGA_BAR [particularly] / . 3 J S 8/ ct d . C: AND [particularly] Y+ CURL_D x= J+ g+ q) || [-ning] him, the Council [?1] and Carew, whereunto [particularly] he made [?1] that they and [particularly] sent it
p2.19 | A= a. .+ xh XUND q= L_ +. XUND S$ ^ Y_ B 9.. XX tl ^ ct [for that he sayde] -2 J pt P || me [?2] a {servant:7} of {mine:3} [for that he sayde] {mus-:3}
p2.20 | g+ < z ss : . e Y+ a. XUND CURL_D x x= xh h H_ n 8 +. / . E xi q= v. ss Z= 9 v nj ct d . Y_SCRIPT q . || -t first speak with Carew {ere:2} he {could:5} take [?1] {to:1} him
p2.21 | [the effect of his answer was these first] n Y_SCRIPT_CROSS q . G . -2 [he knew already] || [the effect of his answer was these first] Carew {that:1} him the Council [he knew already]
p2.22 | d XX -w : . +. # XUND > #/ H E o/ ft tl > mu a. : . S h 8 J+ + x= g+ C= 0 . ct CURL_D ^ Too || [?1] the resolucion taken betwen the Constable
p2.23 | AND n Y_SCRIPT_UL P_ . H L_ mu ct [howbe it] 3 / . B_ -4 Too -2 [being enformedde that] || and Carew [?6] [howbe it] he should that the Constable [being enformedde that]
p2.24 | XX n D_ OMEGA 8 Dx S+ ss Y_ z Z= . n -8 > ^ J x d ft : . ct xe mu # . B Y+ v a. z XUND d CURL_D_BAR . . ct Z= || Carew was departid [?1] {Compiegne:10} of {satisfied:8}
p2.25 | o= XUND q= rho 8 J+ Y_ -w or xi ss OMEGA Dx +. d+ J P : . Y_ S ^ # xh Y+ E ll XX a. pt mu D q . -2 D || had sent the lord [?16] to him to
p2.26 | [-dye him] 0 . 3r J # J+ f- k l AND D [shewe him that] n= + xh q= tl mu Z= [shulde have] || [-dye him] meny fair words and to [shewe him that] the rebels' band [shulde have]
p2.27 | [theyr] XX 3 y= xh S. z Y+ . n / . i B -w > xe d r . J 9 xi XUND : . Y+ 6 J+ AND -4 Too 3 || [theyr] wagis. Carew he [?1] of the {commission:10} and that the Constable
p2.28 | [wolde needes have] n u ft 8 a. ^ F ss rho J+ # D . M . B L2 Ie B_ [he colde not] || [wolde needes have] Carew retourne to [?1] of [?2] should [he colde not]
p2.29 | [tell what] -2 . D OMEGA q= # or : . 6 + th 8 +. v E XUND : . xe J+ J d+ ft . S. q+ d a. . f g+ CURL_D || [tell what] to deliberacion {might:6} be t-
p2.30 | S nj ct mu OMEGA_BAR n= [as soon as he came] -2 or x= q= S+ u ^ . P O_BIG . B q) / . B_ 2 . Y_SCRIPT || -aken, whereunto the rebels [as soon as he came] {learne:5} [?1] the Emperor of it he should {I:1} {t-:1}
p2.31 | C b= OMEGA . f ft v OMEGA F : . ct ss CURL_D a. . . Y+ XX d+ Z= B q) AND / . B_ -4 [he came not] CURL_D r . a. || [?3] be advertsid of it and he should that [he came not] t-
p2.32 | S ss q= f- U_PLAIN . p [first] Y_SCRIPT #/ -2 S+ E h B J ^ J+ # f- pt xh H XUND mu e/ r ct ft ^ : . || -ary [?2] [first] {the:1} lack of money having {e-:2}
# Measured (nulls per key_v4.md; ':' and '.' not signs): 307 non-null signs, 201 firm (65.5%), 66 tentative, 40 unread; 87.0% incl. tentative.
