# R9403 (BayHStA KAA 4591 f.226-228), system B. page	line	cipher_words	reading
# Codes written from the reading with the key found here (e=AST, r=X, n=N "+"); homophone choice (W/HH for t, EQs/T for f) not kept. g: = interlinear gloss.
# P2 (f.226v) holds only a clear-text docket: "R[..] [..] anno 32" (not cipher).
P1	1	N.M.B.3.9.3.O+ OD.W AST.Z.X.AST.Z.3.AST D.M.O.3.N.AST OD.O.3.W.AST W.OD.X.3.O+.O+.3.O.AST O+.OD.9.U2.HH.AST.O AST.HH O.AST.3 W.M.O.O.AST.N	nobilis ac egregie domine amice carissime salutem et mei commen
g:	1		nobilis ac egregie domine amice carissime salutem et mei comm[en]
P1	2	D.OD.HH.3.M.N.AST.O Q.U2.3.N.D.AST.W.3.O.OD EQ.X.AST.O+.AST.N.HH.3.O+ M.B.HH.U2.9.3.HH O.3.H.3 X.U2.EQs.EQs.U2.O+ 3.9.9.3.U2.O+	dationem quindecima presentis obtulit mihi ruffus illius
g:	2		[..]atio nem quin[de]cima presentes obtulit mihi [ru]ffus illius
P1	3	9.3.HH.AST.X.OD.O+ Q.U2.OD.O Z.X.OD.HH.OD.O+ H.OD.B.U2.3.HH EQ.X.3.O.U2.O DAG HH.U2.O D.AST.3.N.D.AST AST.X.Z.M AST.HH OD.B.U2.N.D.AST	literas quam gratas habuit primum [DAG] tum deinde ergo et abunde
g:	3		[li]te[r]as quam gratas habuit primum tum deinde ego et abunde
P1	4	3.N.HH.AST.9.9.AST.W.HH.OD O+.U2.N.HH AST.OD M.O.N.3.OD Q.U2.AST W.M.N.HH.3.N.AST.B.OD.N.HH 3.N 9.3.HH.AST.X.3.O+ 3.9.9.3.U2.O+	intellecta sunt ea omnia que continebant in literis illius	# small interlinear cipher insertion below "intellecta" (reads roughly O.M.X.9.9.X.HH.N.3), not decoded
P1	5	U2.B.3 Q.U2.U2.O U2.AST.O+.HH.X.OD D.M.O.3.N.OD.W.3.M O.3.H.3 Z.X.OD.W.3.OD.O+ EQ.X.3.N.W.3.EQ.U2.O O+.U2.M.X.U2.O EQ	ubi quum uestra dominacio mihi gracias principum suorum p
P1	6	M.9.9.3.W.AST.HH.U2.X 3.9.9.OD.X.U2.O.Q.U2.AST 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.OD.X.U2.O D.M.O.3.N.OD.W.3.M.N.U2.O AST.X.Z.OD	ollicetur illarumque illustrissimarum dominacionum erga
P1	7	O.AST B.AST.N.AST.U2.M.9.AST.N.W.3.OD.O D.AST.W.9.OD.X.OD.HH O.OD.Z.N.M O.AST Z.OD.U2.D.3.M AST.XH.H.3.9.OD.X.OD.HH OD.HH	me beneuolenciam declarat magno me gaudio exhilarat at
P1	8	Q.U2.AST 9.AST.HH.3.EQs.3.W.OD.HH U2.HH EQ.M.HH.AST Q.U2.3 OD.B 3.N.AST.U2.N.HH.AST AST.HH.OD.HH.AST O.AST.OD N.3.H.3.9 O.OD.Z.3.O+	que letificat ut pote qui ab ineunte etate mea nihil magis
P1	9	O+.AST.O.EQ.AST.X AST.HH M.EQ.HH.OD.U2.3 AST.HH Q.U2.AST.O+.3.U2.3 Q.U2.OD.O EQ.X.3.N.W.3.EQ.U2.O AST.HH O.OD.Z.N.OD.HH.U2.O	semper et optaui et quesiui quam principum et magnatum
P1	10	U2.3.X.M.X.U2.O W.M.N.W.3.9.3.OD.X.AST O.3.H.3 AST.HH Z.X.OD.W.3.OD.O AST.HH EQs.OD.U2.M.X.AST.O 3.D.Q.U2.AST 3.EQ.O+.U2.O	uirorum conciliare mihi et graciam et fauorem idque ipsum
P1	11	O+.U2.O M.O.N.3 O+.HH.U2.D.3.M EQs.OD.W.HH.U2.X.U2.O+ AST.HH N.U2.N.W AST.HH O+.AST.O.EQ.AST.X 3.N EQ.M.O+.HH.AST.X.U2.O	sum omni studio facturus et nunc et semper in posterum
P1	12	OD.W O+.AST.X.U2.3.HH.U2.X.U2.O+ O+.U2.O 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.3.O+ EQ.X.3.N.W.3.EQ.3.B.U2.O+ U2.AST.O+.HH.X.AST D.M.O.3	ac seruiturus sum illustrissimis principibus uestre domi
P1	13	N.OD.W.3.M.N.3.O+ W.M.X.EQ.M.X.AST AST.HH M.O.N.3.B.U2.O+ O.AST.3.O+ EQs.OD.W.U2.9.HH.OD.HH.3.B.U2.O+ W.AST.HH.AST.X.U2.O U2.B	nacionis corpore et omnibus meis facultatibus ceterum ub
P1	14	W.U2.EQ.3.U2.N.HH EQ.X.3.N.W.3.EQ.AST.O+ 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.3 3.N.HH.AST.9.9.3.Z.AST.X.AST Q.U2.3.D H.OD	cupiunt principes illustrissimi intelligere quid ha
P1	15	B.AST.OD.HH HH.U2.X.W.OD 3.N OD.N.3.O.M AST.HH Q.U2.M O+.U2.M AST.XH.AST.X.W.3.HH.U2 O+.AST O.M.U2.AST.X.AST 3.N.HH.AST.N.D.OD.HH	beat turca in animo et quo suo exercitu se mouere intendat
P1	16	D.AST H.M.W EQs.OD.W.3.9.AST O+.U2.AST 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.AST D.M.O.3.N.OD.W.3.M.N.AST.O+ EQ.M.O+.O+.U2.N.HH 3.N.HH.AST.9.9.3	de hoc facile sue illustrissime dominaciones possunt intelli
P1	17	Z.AST.X.AST W.U2.O H.OD.W H.3.AST.O.AST HH.U2.X.W.OD M.X.OD.HH.M.X.3.B.U2.O+ X.AST.Z.3.O+ EQs.AST.X.D.3.N.OD.N.D.3 H.M.W D.AST	gere cum hac hieme turca oratoribus regis ferdinandi hoc de
P1	18	D.AST.X.3.HH X.AST.O+.EQ.M.N.O+.U2.O 3.HH.AST.O OD.D D.M.O.3.N.U2.O U2.AST.O+.HH.X.U2.O D.3.W.3.HH.AST 3.9.9.3 N.U2.N Q.U2.OD.O	derit responsum item ad dominum uestrum dicite illi nun quam
P1	19	3.EQ.O+.U2.O OD.O.3.W.3.W.3.OD.O N.M.O+.HH.X.OD.O N.U2.O.Q.U2.OD.O EQ.OD.W.AST.O EQ.OD.W.AST.O U2.AST.9 3.N.D.U2.W.3.OD.O+	ipsum amiciciam nostram numquam pacem pacem uel inducias	# pacem written twice (dittography)
P1	20	W.M.N.O+.AST.Q.U2.U2.HH.U2.X.U2.O N.3.O+.3 W.AST.D.OD.HH X.AST.Z.N.M H.U2.N.Z.OD.X.3.AST OD.O.3.W.M N.M.O+.HH.X.M 3.M.OD.N	consequuturum nisi cedat regno hungarie amico nostro ioan
g:	20		[..] regno hungarie amicorum nostrorum
P1	21	N.3 X.AST.Z.3 O+.AST.X.AST.N.3.O+.O+.3.O.M Q.U2.M.D N.3.O+.3 EQs.AST.W.AST.X.3.HH U2.AST.N.3.OD.O OD.D Q.U2.AST.X.AST.N.D.U2.O AST.U2	ni regi serenissimo quod nisi fecerit ueniam ad querendum eu
P1	22	O N.AST.W W.U2.X.OD.B.M AST.XH.EQ.U2.Z.N.OD.X.AST W.3.U2.3.HH.OD.HH.AST.O+ Q.U2.3.OD D.AST.U2.O+ D.AST.D.3.HH N.M.B.3.O+ O.OD.XH.3.O.OD.O+	m nec curabo expugnare ciuitates quia deus dedit nobis maximas
P3	1	AST.HH OD.O.EQ.9.3.O+.O+.3.O.OD.O+ 3.N 3.O.EQ.AST.X.3.3.O+ N.M.O+.HH.X.3.O+ U2.X.B.AST.O+ O+.AST.Q.U2.AST.N.HH.AST.O+ OD.D EQs.OD.W.3.AST.N.D.U2.O	et amplissimas in imperiis nostris urbes sequentes ad faciendum
P3	2	3.O.EQ.AST.X.3.OD.9.AST.O AST.HH O.3.9.3.HH.OD.X.AST.O EQ.U2.Z.N.OD.O AST.HH OD.D D.AST.O+.HH.X.U2.AST.N.D.OD.O+ AST.3.U2.O+ EQ.X.M.U2.3.N.W.3.OD	imperialem et militarem pugnam et ad destruendas eius prouincia
P3	3	O+ 3.N.D.AST 3.9.9.U2.O+.HH.X.3.O+.O+.3.O.3 EQ.X.3.N.W.3.EQ.AST.O+ EQ.AST.X.EQ.AST.N.D.AST.X.AST EQ.M.O+.O+.U2.N.HH N.U2.9.9.M	s inde illustrissimi principes perpendere possunt nullo
P3	4	EQ.OD.W.HH.M HH.U2.X.W.OD.O H.OD.N.W AST.XH.EQ.AST.D.3.W.3.M.N.AST.O X.AST.9.3.W.HH.U2.X.U2.O O+.3 N.M.N AST.X.3.HH W.M	pacto turcam hanc expedicionem relicturum si non erit co
P3	5	N.W.M.X.D.3.OD N.U2.N.W OD.U2.HH.AST.O OD.EQ.U2.D 3.EQ.O+.U2.O B.AST.9.9.3.W.U2.O+ OD.EQ.EQ.OD.X.OD.HH.U2.O+ W.U2.O 3.N	ncordia nunc autem apud ipsum bellicus apparatus cum in	# blot before "ipsum"
