R01	4kd3s14t13	fougeres?	Il ne faudra pas, si [Fou?eres] est encore icy, de luy representer
R02	ns11g14dq1ds	leur ruyne	ne peuvent avoir esté cause de [leur ruyne]
R03	otd14sl12gtJ14p1359421noy	leur entreprise a failly	ny de quoy [leur entreprise a failly]
R04	9n214dq1dt6s[10]913fp1312s	a la ruyne de [10] assistee	ains seulement [a la ruyne de 10 assistee] de plusieurs
R05	rs1d13vtypt1seb2d12k14pet	gens de bien et d autorite	[gens de bien et d'autorité] qui y estoyent fort disposez
R06	s1213p6f1b1713s1d12	et s i disposent	[et s'i disposent] encore tous les jours
R07	esnots1degtJ141ft	telle entreprise	pour n'embrasser [telle entreprise] que bien a propos
R08	14tfknd911x17lftpo	resolu au conseil	Il cuyda estre [resolu au conseil]
R09	vsJ14t1d69ste3t12s14t1dos2d1sp1d4skd11psrevt1316ndf3149 1d13opr11td9f6t	de prendre et jetter en l eau cinq ou six des plus grans ligueurs de	[de prendre et jetter en l'eau cinq ou six des plus grans ligueurs de] 102
R10	7991dxtnopt14s12v17	chancellier et d o	a quoy poussoyent fort a la Royne, [chancellier et d'O]
R11	11pnot1417y	villeroy	larmes de 12 et [Villeroy]
R12	206st13Jndfdsnos13teJkg12t13dpnosf	des plus belles et fortes villes	mais encore 20 [des plus belles et fortes villes]
R13	6d1417y211mt	du royaume	[du royaume]
R14	dsnoptd14s	bellievre	qui appela [Bellievre] pour le luy dire
R15	ns19179 1d614svto9d1ons211kp12199n	le moindre de la ville avoit mal	jurant et reniant que si [le moindre de la ville l'avoit mal?]
R16	92dk1e9fk1d717m192l	avoit a son comman	luy [avoit a son comman-]
R17	6smt1d12[40m]2km19t13	dement 40 mil hommes	[-dement 40 mil hommes] avec lesquels il
R18	14s19ds14171e1291det619sf21rts1d7t1417y9d19t	remueroit tant de mes?a?es en ce royaume	[remueroit tant de mes?a?es en ce royaume] que led. 11
R19	16nd13Jsi2pet1b9912	plus petite part	en auroit la [plus petite part]
