record	tx_line	token_no	decode_token	left_context	right_context
R1012	1	24	189	lreparoquehace	larti[son]lo[96]
R1012	1	29	son	quehace[189]larti	lo[96]lprob
R1012	1	32	96	[189]larti[son]lo	lprobto[96]tr
R1012	1	39	96	[96]lprobto	trdode[ge]te[sos]n
R1012	1	43	ge	robto[96]trdode	te[sos]nsereino
R1012	1	45	sos	bto[96]trdode[ge]te	nsereinoes[ue]
R1012	1	53	ue	[sos]nsereinoes	i[soo]mode[icf]gran
R1012	1	55	soo	sereinoes[ue]i	mode[icf]granpori
R1012	1	58	icf	inoes[ue]i[soo]mode	granporici[c]i
R1012	1	65	c	de[icf]granporici	ip[69][96]nciai
R1012	1	68	69	ranporici[c]ip	[96]nciaiquecre
R1012	1	69	96	nporici[c]ip[69]	nciaiquecre[E]
R1012	1	77	E	[96]nciaiquecre	serciertoqueesto
R1012	1	95	xoy	ministrosanconvenido	ldedinamarca
R1012	1	105	Se	ldedinamarcaen	slospuntos[96]
R1012	1	113	96	[Se]slospuntos	lproerbqueinvi
R1012	1	155	167	sealasarmasla	queesloqueestasupo
R1012	1	172	65)Se	nepretendera	slosarticulos
R1012	1	205	2/E	toquedarananula	ime[es]crqueyo
R1012	1	209	es	nanula[2/E]ime	crqueyosave[es]que
R1012	1	216	es	me[es]crqueyosave	quenoaitr[25b3]doen
R1012	1	222	25b3	save[es]quenoaitr	doenquenoayatan
R1012	1	245	ox	dicinesfsico	claporsulasique
R1012	1	267	32	rasconqueprete	tarloqueha[xcy][17]lo
R1012	1	273	xcy	rete[32]tarloqueha	[17]loquenoqueren
R1012	1	274	17	te[32]tarloqueha[xcy]	loquenoqueren[cel]
R1012	24	282	cel	[17]loquenoqueren	lospincipes
R1012	24	292	500	spincipesza	yatengoasegura
R1012	24	305	cg	aseguradoaque	representadoi
R1012	24	332	167	reloqueinportaquela	tenga[138]frenode
R1012	24	336	138	portaquela[167]tenga	frenodeserei
R1012	35	346	auf	renodesereini	pli[xouN]quesetuvi
R1012	35	349	xouN	sereini[auf]pli	quesetuviref
R1012	35	363	to	refpondeha	larledeaenten
R1012	35	384	acat	leheescitolas	sblagacinesque
R1012	35	397	rcf	cinesquetesgoa	grolsta
R1012	35	408	as.	rolstable	zayohecreido[96]
R1012	35	416	96	[as.]zayohecreido	verledecirquey
R1012	35	428	ce	decirqueyloque	esciveleha[E]l
R1012	35	435	E	[ce]esciveleha	ltacbuennama
R1012	35	446	ge	cbuennamarque	desuservicil
R1012	35	459	ge	vicilteneren	acorteestanni
R1012	35	470	500	rteestannionza	dichin[92]adono
R1012	52	475	92	nionza[500]dichin	adonosesarto[ao]
R1012	52	483	ao	[92]adonosesarto	rcialinclina
R1012	52	498	otd	linacionyolehedi	aserare[96]esto
R1012	52	504	96	hedi[otd]aserare	estoaidesume
R1012	52	535	100	rviciaiaen	[25b3]s[00][0]sas[00][0]
R1012	52	536	25b3	viciaiaen[100]	s[00][0]sas[00][0][c]
R1012	52	538	00	aiaen[100][25b3]s	[0]sas[00][0][c]vepor
R1012	52	539	0	iaen[100][25b3]s[00]	sas[00][0][c]veporde
R1012	52	542	00	en[100][25b3]s[00][0]sas	[0][c]vepordelante
R1012	52	543	0	[100][25b3]s[00][0]sas[00]	[c]vepordelante
R1012	52	544	c	[25b3]s[00][0]sas[00][0]	vepordelantel
R1012	52	562	C	creerlesinoaque	[S]enquesecon[mi]r
R1012	52	563	S	reerlesinoaque[C]	enquesecon[mi]rma
R1012	52	569	mi	que[C][S]enquesecon	rmareportrapar
R1012	52	582	09	trapartesiendo	nbre[F]nodearti
R1012	52	586	F	tesiendo[09]nbre	nodeartificiossi
R1012	52	602	S	sincosfundamte	aveces[t]supro
R1012	52	607	t	ndamte[S]aveces	supropiainque
R1012	52	620	asegunado>	iainqueunpara	
R1013	1	23	167	protecciondela	quelesacostado
R1013	1	107	167	nodarcelosala	lo[d+v+]ljuntoasa
R1013	1	109	d+v+	rcelosala[167]lo	ljuntoasaver
R1013	1	123	g	saveryolgra	fundamtelqueaque
R1013	1	134	f	damtelqueaquehace	sobrelaaastafco
R1013	1	158	d/f	lasportilidades	dedansacadod
R1013	1	192	Y+	nlponersu	rcitoenestadode
R1013	1	217	bof	rcaenlaporltima	que[xoy][C+]tuvoeste
R1013	1	219	xoy	enlaporltima[bof]que	[C+]tuvoesterei
R1013	1	221	C+	porltima[bof]que[xoy]	tuvoestereino
R1013	31	232	d+v+	estereinolo	laproducido
R1013	31	266	on	esteinviadodel	rdebourg[E]iespero
R1013	31	270	E	adodel[on]rdebourg	iesperoproduc
R1013	31	282	g	roproduccal	queintimidadoslo
R1013	31	311	atad	alossucosmu	rtedelaconfian
R1013	31	324	C+	confianzaquesobre	lste[76/1+1+]loque[x+]l
R1013	31	328	76/1+1+	zaquesobre[C+]lste	loque[x+]lescierto
R1013	31	331	x+	[C+]lste[76/1+1+]loque	lesciertolosre
R1013	31	368	500	dinamarquesesza	[=]
R1013	31	369	=	namarquesesza[500]	
R1014	1	11	ii	tengochaen	sprecedentes
R1014	1	36	C+	palquesereino	[r+]vaenaverinvi
R1014	1	37	r+	lquesereino[C+]	vaenaverinvia
R1014	1	71	187	didoesltomar	conestoparasatis
R1014	1	117	xoy	stirleporaora	lsocoro[f]pre
R1014	1	123	f	ora[xoy]lsocoro	pretendeenvir
R1014	1	137	v+	envirtudesutr	doporltimoinohe
R1014	1	149	C+	timoinohesavido	[r+]vedichemlrord
R1014	1	150	r+	moinohesavido[C+]	vedichemlrordde
R1014	1	160	nc	dichemlrordde	ctuarlfsa
R1014	1	206	149	blaraenlzaen	altrfdodeque
R1014	1	229	cuf	resterenoila	measeguranqueso
R1014	1	257	yu	lporltimoqueaj	toenestacortemonsr
R1014	32	290	21/1+1+	redequeinvicop	ennde[17]tubre
R1014	32	295	17	cop[21/1+1+]ennde	tubreperoenl
R1014	32	312	C+	estadoenqueyomepa	[5][xaif]pivadodel
R1014	32	313	5	tadoenqueyomepa[C+]	[xaif]pivadodel[111]
R1014	32	314	xaif	doenqueyomepa[C+][5]	pivadodel[111]de
R1014	32	321	111	[5][xaif]pivadodel	delasnspu
R1014	32	338	F_	doenganarmeen	aunmasquehasta
R1014	32	371	v+	resacoronaennue	pornionmiparecer
R1014	32	408	167	oderetenerala	iquesisacorona
R1014	32	419	1+1+	sisacoronasea	[fu]tasealaneport
R1014	32	420	fu	sacoronasea[1+1+]	tasealaneportra
R1014	32	448	32	lpornicoprete	to[xoy]quese[yexuafxoy]lafranciai
R1014	32	450	xoy	pornicoprete[32]to	quese[yexuafxoy]lafranciaipare
R1014	32	453	yexuafxoy	prete[32]to[xoy]quese	lafranciaipareceinpo
R1014	32	463	co	franciaipareceinposi	lelquede[ci]se
R1014	32	469	ci	posi[co]lelquede	segodesocore
R1015	1	8	cin	darlequentadeque	mevenido[21/1+1+]ver
R1015	1	13	21/1+1+	tadeque[cin]mevenido	vertirqueante
R1015	1	78	1+3+	franciazaamanoarmada	adosdiasquehece
R1015	1	90	138	diasquehecesadoen	remediodelosva
R1015	1	126	d+ay	taparteparasalir	toantesa[cel]la
R1015	1	133	cel	r[d+ay]toantesa	lasdilincias
R1015	27	225	yer	queenmiestimacion	mayormal
