folder,proposed,recorded,flags,cls,attack,prior,title
abwehr,not solved,,,not read,ciphertext-only,no/not found,"The Koehler cryptograms, Abwehr Hamburg -> Paris, February 1944 (Kahn, Cryptologia 5(2), 1"
acciaiuoli1757,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,partial/before attempt,"Nuncio Filippo Acciaiuoli (Lisbon) to the Secretariat of State, 1758-60 (AAV Segr. Stato P"
adfgvx,read with known key,,solver/crib steps worked: key extended or rebuilt?,already solved,published key,online/before attempt,"The 22 'unsolved' ADFGVX radio messages, Eastern Front, November 1918 (Childs corpus; Schm"
adrian1521,key recovered based on plaintext from external sources,,already solved elsewhere: independent re-solution?,already solved,known plaintext,in print/during attempt,"Adrian of Utrecht, the Admiral and the Constable of Castile to Charles V, Vitoria, 30 Dec "
affry1757,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,read in part,archive decipherment,partial/before attempt,"Comte d'Affry (The Hague) to Rouillé and Bernis, 1757-58, intercepted code letters (KHA Pr"
alessandrino1568,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,published key,online/before attempt,"Cardinal Alessandrino to the nuncio in Spain, 1568-69 (ASV SdS Spagna 6/I, 6/II)"
andreae1616,key recovered based on adjacent plaintext,,plaintext both adjacent and external: which one gave the key? | already solved elsewhere: independent re-solution?,already solved,known plaintext,in print/during attempt,"Andreae, Chymische Hochzeit Christiani Rosencreutz, Strassburg 1616: printed secret-script"
anne1711,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Queen Anne to the Earl of Peterborough, instructions, St James's, 22 Feb 1711/12 (BL Add M"
armstrong,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read,known plaintext,partial/before attempt,"John Armstrong to James Madison, coded postscript of 30 Aug 1808 (THE=972 code), Madison P"
augurelio1535,read after matching with key from external sources,,,read,sibling key,partial/before attempt,"Augurelio letter to the Dukes of Bavaria, 10 Dec [15]35, BayHStA Kurbayern Äußeres Archiv "
