# p1.19-p1.30, read from img/p1.jpg crops (geometry: line n centre y ~ 3910+(n-7)*212 at x=1600, i.e. +100 on keyfix_p1b formula; x of text starts ~1700)
# format: line | values (codes [..], nulls _, unknown ?) | English. Confidence low except where marked SOLID.
p1.19 | p _ a y m _ o u d [N·?] [there ω̄] [to] k d p [French king] c? o m ? _ m o n g s c c? m m _ _ | ...pay mo(ney?)... there to ... the French king ... (a)mong ... comm(on?) ...  (ꝗξμ·S· = "mong" fairly sure)
p1.20 | o c? _ o n y ? e l d h a p p e n [in] [crowned box = ? Low Countries/England] c s [to] [were] n c _ c a ? _ o? _ n? | ...yeld(?), happen in (the Low Countries?) ... to were ... (SOLID: "happen in" = α ꭗ x Δ̸ ~+ σ+ ⤳ Δ H̄; α-crossed here = h, ~+ and ⤳ nulls)
p1.21 | [Carew] [C: ?] [clear: it seeming by his saying that] [they?/ǂ] a [of] h o r y ? [had] i [it] k [French king] [clear: keeping] | Carew ... it seeming by his saying that they ... of ... had ... it ... the French king keeping
p1.22 | t e e l _ _ y? e y? y? [in] a u e d o? n e s o n e l y ? w a h _ o? p? _ _ w? p? | ...tell(?) ... in ... -ly ... (unread)
p1.23 | o s i _ r [French king] [● filled circle ?] [clear: encreasidde] [the] p e n _ s i o n _ s [of] d i? u e r s [of] [the rebels] [Carew] [Ie ?] | ...(de)sire(?) the French king ... increased the pensions of divers of the rebels, Carew ... (SOLID: "the pensions of divers of the rebels")
p1.24 | [who] _ [none] _ y u e _ s n [and?/d] w s d _ _ c r _ o e n e _ s _ [the] s y i t e _ | who none ... the s(c)ite/city(?) ... (unread middle)
p1.25 | [of] [the] c? ? a d u d _ n a l t s? s? _ _ n e [clear: shewing him much favour] | of the ... (unread) ... shewing him much favour
p1.26 | [clear: for] _ [the] l e _ g a t e s s t _ e [the] y o n g e t _ t [us?] o l t _ _ e g | for the legate(s) ... the young ... (ᘐ read l here, see keyfix)
p1.27 | u e w? [hath] [none] t w o u c? n d _ r e e? ? u c? o w n e _ s w [clear: nothing other] | ... hath none two(?) ... (th)eir owne ... nothing other
p1.28 | [clear: likewise] [and] [Ie ?] [it] o? ? _ g? d ? r _ d t? o w u e q? u n d _ w _ _ d [and?] [the] | likewise and ... it ... (unread)
p1.29 | l e a d ? _ i n g [of] a b? c? n _ e [clear: yt. him list as he saithe] [and] [French king] [shall] [that] | ...leading of a(n) ... it (liketh) him list as he saith, and the French king shall that ...
p1.30 | o? _ [that] [have] k? p _ e n s c? n _ s? i a l [of] s e r u? d? [the rebels] [Monsieur de] [French king] [clear: pleasure] | ... that have ... pens(ion)s ... of serv(ice) the rebels, Monsieur de ... the French king('s) pleasure
