index	group	plaintext	confidence
1	377=	<start>	high
2	444=	De Heer van	medium
3	116^	Rosencrantz	medium
4	518~	verzekert	medium
5	733~	de	medium
6	498~	eigentlyke	medium
7	818~	oorzaak	medium
8	335^	van	high
9	115^	zyn	medium
10	991^	renvoy	medium
11	515^	te	medium
12	309"	ignoreeren (1/2?)	low
13	657^-	ignoreeren (2/2?; dash = suffix -en?)	low
14	270~	[no counterpart in solution: drift/omitted clause]	low
15	130~	[no counterpart]	low
16	731~	[no counterpart]	low
17	62+	[no counterpart]	low
18	961~	[no counterpart]	low
19	681=	[no counterpart]	low
20	320~	[no counterpart]	low
21	512~	[no counterpart]	low
22	657~	[no counterpart]	low
23	761~	[no counterpart]	low
24	609~	[no counterpart]	low
25	652~	[no counterpart]	low
26	282~	[no counterpart]	low
27	401~	Hy	medium
28	212^	veronderstelt	medium
29	480^	dat	high
30	237"	zyn	high
31	927+	Cyffer	high
32	515	door	high
33	953=	middel	medium
34	335^	van	high
35	114	een	medium
36	378	bediende	medium
37	483	is	medium
38	636	genomen	medium
39	162=	en	medium
40	301~	gecopieerd (1/3?)	low
41	727~	gecopieerd (2/3?)	low
42	733~	gecopieerd (3/3?; 733~ = 'de' at L1)	low
43	273~	geworden	medium
44	946+	waar	medium
45	408	door	medium
46	631"	dan	medium
47	284"	zyne	medium
48	232"	Gevoelens	medium
49	237"	zyn	high
50	267=	bekend	medium
51	217	geworden?	low
52	922	[no counterpart: drift/omitted clause]	low
53	358=	[no counterpart]	low
54	481"	[no counterpart]	low
55	475"	[no counterpart]	low
56	626"	[no counterpart]	low
57	191"	[no counterpart]	low
58	273~	geworden? (same group as 'geworden' above; ends omitted clause, or = bekend geworden)	low
59	304~	[wegens? known value; not in solution]	low
60	854=	Vry	low
61	757=	positiever	low
62	670=	meldt	low
63	496^	Lusy	medium
64	480^	dat	high
65	185^	het	medium
66	111	bureau (1/4?)	low
67	102	bureau (2/4?)	low
68	107	bureau (3/4?)	low
69	97	bureau (4/4?)	low
70	283"	waar	medium
71	981"	in	high
72	237"	zyn	high
73	927+	Cyffer	high
74	20"	was	medium
75	875+	is	medium
76	81	geforceerd (1/2?)	low
77	79=	geforceerd (2/2?)	low
78	72=	geworden	low
79	556"	Het	low
80	626"	is (626" also in the unaligned run on p.1 line 6)	low
81	401"	om	low
82	535=	die	low
83	669=	reden (669= = 'willen' on p.2 line 3: conflict)	low
84	957~	dat	low
85	125^	men	medium
86	354	den	medium
87	453=	Heer	high
88	859~	Schuez (1/6?)	low
89	253^	Schuez (2/6?)	low
90	29^	Schuez (3/6?)	low
91	340^	Schuez (4/6?)	low
92	858^	Schuez (5/6?)	low
93	21"	Schuez (6/6?) / komma	low
94	981"	in	high
95	362~	No	medium
96	369	83 (1/2?)	low
97	773	83 (2/2?)	low
98	872=	gementionneerd	medium
99	891=	heeft	medium
100	669=	willen	medium
101	549"	naar	medium
102	61~	Petersburg	medium
103	29"	zenden	medium
104	653"	om	medium
105	463"	een	medium
106	148~-	nieuw	medium
107	927+	Cyffer	high
108	595~	over	medium
109	736~	te	medium
110	58	brengen	medium
111	348"	<end>	low
112	722~	<pad>	low
113	916+	<pad>	low
114	754^	<pad>	low
115	91~	<pad>	low
