# p3.01-p3.31 and p6.01-p6.28 read with key_v6.md (tokens from final_v5_p3/p6; relabels: `n .` p3.19 -> Y_DOT, `<` -> `<.` p3.16/p3.31, `ll` -> ll_BAR p6.10/p6.18; key refinements in key_v6_p36_notes.md). Format: line | corrected tokens || reading ([?n] unread, {w:n} tentative over n signs)
p3.01 | . e . p SLASH_O_UND F_OVERBAR + . < ct Y+ B . SS q= 8 8/ . . AND / . S_DOTBELOW .B x= J+ g+ XX U_HOOK # H= XUND 8 + . s d+ E # D CIRC_DOT || [?1] charges offred, and he would not entre in service to the French king
p3.02 | Y_ETA / . B= -4 . Z / . OMEGA v~ Z= ft + . rho 8/ -8 . L_ . . q= NULL_LOOP H ct J e > ^ # H B q . / . -8 xi C= OMEGA || us he shall, that [?1] he {did:2} r{e:1}ceve money of him he {cowd(could):4}
p3.03 | .B NULL_LOOP x J+ NULL_LOOP Z= H= p) q+ x= d th + . a. C: D . f C mu g+ : . XX SS # SS_TAIL D q . AND [besides] || not {f:1}(i)nd in this heirt(heart), that they to be untrew to him, and [BESIDES]
p3.04 | [that he doubting lest it be] E_DOT . 3 h J+ > C= mu -4 / . S . H F ct sy A= . Q_TAIL rho v OMEGA || [THAT HE DOUBTING LEST IT BE] known that he gyveth me [?1] ad-
p3.05 | C q= 8 SS NULL_LOOP Y_ . . XUND 9 : . # ^ a. x= Y+ EE= . 9 / . EE H= h . B p) #/ : . H NULL_LOOP_BAR AND w= Y_ETA [wolde] || -vertsmentes(advertisements), where [?1] he were in [?1] of this [?2], and whereunto {us:1} [WOLDE]
p3.06 | [be gladde to] rho 8/ 8 Dx 0 . ct S U_HOOK a. p) z xi q= + . g+ or E_DOT H [and although he sayde] || [BE GLADDE TO] depeart(depart) {this:1} {sh:1}ortly [AND ALTHOUGH HE SAYDE]
p3.07 | r . NULL_LOOP / . a. ^ : . ll nj A= D . f [of an honest manne and therfore] Z= d+ OMEGA .B 7 XUND P Y_ + . || he took me to be [OF AN HONEST MANNE AND THERFORE] did not m{i:1}str-
p3.08 | : . # XUND g+ Y_ZHOOK . y= xe U_HOOK OMEGA rho # P n . / . 8/ ft # Y+ . . SS d+ Z= 7 C xo D o_ th ct d+ xo ct U_HOOK || -{u:1}st {my:1} wordes. Carew, he desrid(desired) {much:3} to have {either:5}
p3.09 | r . v . EE C_CEDILLA x= or q= ct z X_BAR C_DOT . . n CIRC_RING B . Z [contentacion] -2 g+ XX > y= S+ + . q= NULL_LOOP OMEGA # Y+ || [?1] {were:1} [?7] {Carew:1} {your highness:1} of [?1] [CONTENTACION] towardes
p3.10 | q . [And as for] 3 q+ / . B_ / . E xi SS OMEGA .B EE_ 8/ L_ s H P # D= nj . . mu NULL_LOOP Z= B x= -8 g+ || him. [AND AS FOR] {him:1}, he should, he {ac:1}cord not, will devyse what k(i)nd of-ect(effect)
p3.11 | CIRC_RING [wolde requyre] B q . D . f ft 8/ b xi J+ AND -4 q+ q+ xh C v~ ^ . S . [receyved] : . J NULL_LOOP || {your highness:1} [WOLDE REQUYRE] of him to be {done:4} and that [?1] having [RECEYVED] m-
p3.12 | ll rho J+ 8 H p B . + . L_ OMEGA : . f- . Z q) EE x x= r . U_HOOK E 8 e . . F # Z= -4 [he wente] || -oney [?1] offred [?2] it were perceved(perceived) that [HE WENTE]
p3.13 | [abrode to] th xh d a. : . g+ ct J Dx XX Y_ . P O . v . S . ft S$ d+ NULL_LOOP mu XUND a. CIRC_DOT / . EE C: Y_ETA . || [ABRODE TO] a{t:1}tempt [?1] the Emperor against the French king, he were {that they:1} {us:1}
