R01	14 17 Q	roy	il pouvoit s'approcher de [Roy]
R02	1d s 11 t 14 13	nevers	si [Nevers] alloit veoir 11 sans estre mandé
R03	n 9 7 2 13 f p 1d t	lacassine	24 se peult souvenir qu'estant a [La Cassine] 11 ne luy escripvoit qu'a force
R04	[ s d t 9 f s 1d x 17 d 14 12	neversencourt	tout le monde desire [Nevers en court] beaucoup plus que l'on ne faisoit alors
R05	n p r 11 t d 14 13	ligueurs	Et non seulement [ligueurs] mais aussi les aultres
R06	16 9 14 6 17 1d l s	pardonne	pour tesmoigner a 102 qu'il [pardonne] et n'a mauvaise volonté
R07	1d s 11 t 14 13	nevers	Ledit 102 n'a encore envoyé vers [Nevers]
R08	7 d g 5 Z 9 1d 6 14 + 2 t 8 s 1d 17 p 13 E	curezandreetbenoist	Il n'y a que les [curez St André et St Benoist]; + (=e) and 2t (=et) from context only
R09	19 11 E p 1d s 14 n s 16 t 11 d o s	mutinerlepeuple	qui font rage de [mutiner le peuple]
R10	16 p 7 9 s 1d z Z	pichenaz	que j'avois entendue de [Pichenat] (last sign reads z: 'Pichenaz')
R11	16 9 14 9 d 13 5 f 5 12 J z d n c d g o p 7 E Z	parrusesetfaulxbruictz	de sorte que [par ruses et faulx bruictz] on leur faict tousjours passer quelque carriere
R12	o s J g s d 17 13 E x q 2 1b t n o s	leprevostchapelle	[le prevost Chapelle] ne fault de rapporter le tout au
R13	7 k [ 13 s p n 6 s t E	conseildeet	au [conseil de 9 et 106] pour adviser les moyens de rompre les deliberations
R14	t 12 6 s 8 14 9 Q n s d t f 1s t 6 s n p k 1d J d 1o n Q	etdebraylevesqedelionnuily	assistent tousjours [33 et de Bray, l'evesque de Lion, Nuilly]; 1o (=i) once only
R15	9 14 12 p n o s 9 Q t 6 s o z 14 13 s 1d z 7	artillerye delarsenac	9 voullant faire sortir [l'artillerye de l'Arsenac] pour aller a
R16	x k 14 y s p n	corbeil	pour aller a [Corbeil]
R17	[ k 19 m t x 17 12 E t 8 o 9 [ 7 9 s v p 13 12	nommecotteblanchedist	l'un des eschevins [nommé Cotteblanche dist] qu'il ne consentiroit jamais
R18	19 k 1d 12 m 17 g 5 [ 7 Q	montmorency	chez 105 qui est logé au logis de [Montmorency]
