# final_v4_p12.txt - regrade v4, pages 1-2 of R8499 (Wotton to Queen Mary, June 1554), from transcription_v4_p12.txt with key_v4.md.
# Format: line | reading. [?n] = unread stretch of n non-null cipher signs. {text:n} = tentative reading of n signs.
# Clear text is in brackets in the source and is not counted. Nulls per key_v4.md (CURL_D, CURL_D_BAR, X_HOOK, NULL_DAG, e;
# d+ is now i and counts). Per-line counts were matched by hand to the decoded tokens; the measure reported no OVER line.
p1.01 | Carew was {at:1}
p1.02 | Compiegne and spake [?1] of with the French king, the rebels, with the Constable, and Carew. I am enf-
p1.03 | -ormid Carew [?2] he have had meny [?6] and fair words {to:1} have of {his:1}
p1.04 | answer he {did:2} respect {account:6} he [?5]
p1.05 | {to:1} [?1] {his:1} the Constable tooke it [?5] the French king had {gyven:5} him of [?4]
p1.06 | [?5] send {crownes:7} of [?3] Carew shall that he had [?1]
p1.07 | [?3] of [?9] send more of this
p1.08 | (t)owne and where Carew Carew [requyred that] the band of the rebels none set up {w-ou-:2}
p1.09 | {-ld:2} have the Emperor wagis. Carew the [?1] of the Emperor {commission:11} the Constable should it
p1.10 | was of the use of {his:1} [?6] to fair the rebels, Carew the [?1] of the {mys-:2}
p1.11 | {-steries:6} and to fair to wyse were [?6] ensamp-
p1.12 | -le {to:1} of to [?2] Carew {retourne:9} this to {Paris:5} to
p1.13 | will [?10] the Constable comenid with him how the
p1.14 | ysle of {Wight:5} {might:5} be taken [?6]
p1.15 | [?6] {most:4} and how [?1] {might:5} be kept the rebels
p1.16 | [finallye] Carew [?1] advertisith me [?1] have {concludid:10} that
p1.17 | Carew the [?1] changes the French king it [?1] to {use:3} to {attempt:7} of {aga-:3}
p1.18 | -inst your highness [?1] some [?6] ocasion {(ad)vaunce:6}
p1.19 | [?7] whereunto to Carew [?2] the Prince of Spain comings {commo-:4}
p1.20 | {-cion:5} [?5] {(h)appen:5} in the Low Countries [?2] to [?1] {occasion:8}
p1.21 | Carew, that they [it seeming by his saying that] [?6] {allow:4} it {to:1} the French king [keeping]
p1.22 | [?4] in [?2] in a readiness onely to that purp-
p1.23 | -osi he the French king [?1] [encreasidde] the {pensions:8} of dyvers of the rebels, Carew [?1]
p1.24 | who none [?9] crownes the [?5]
p1.25 | of the {Cardinal:8} {Farnese:6} who [shewing him much favour]
p1.26 | [for] the legates {saie:3} the {(you)ngest:5} {college:6}
p1.27 | [?4] none {two thousand:7} [?3] crownes and [nothing other]
p1.28 | [likewise] and [?1] it [?11] hundrid and the
p1.29 | [?7] of [?5] [yt. him list as he saithe] and the French king shall that
p1.30 | [?1] that have fair {pensions:8} [?3] of serve the rebels the Emperor [pleasure]
p2.01 | the rebels may dwel in France where [?2] and the Emperor {pensions:8} [?3] con-
p2.02 | -tinew til the {time:3} the French king [?11] to the Emperor c-
p2.03 | -ountre of the said [?1] sent me [?5] that whereunto {came:3} of late
p2.04 | a {servant:9} of Carew to him to of the Low Countries who shall that certein {gentle-:5}
p2.05 | -lmen home send him word that [?1] he and the rebels {become:4} and [?4]
p2.06 | in the west partis [?2] of [?4] to {take:4} part with [?1] and
p2.07 | [?4] the Emperor to [make thynge sleepe?] the better {able:4} to
p2.08 | [?7] and that [?2] take [?4] {towne:4} [?4]
p2.09 | it and keep it ready [?9] hath [?1] {sent:5} me and
p2.10 | [the second of this present I received your highness letter of the 29 of the last]
p2.11 | [the king being then in his journey] the said [resting as yet nowhere. So as I could]
p2.12 | [neither well speak with him nor with the Constable. Wherefore I thought]
p2.13 | I wold {first:5} make a step to {Paris:5} ere I went
p2.14 | to [?4] to {talke:4} secretly with [?1] with {me:1} Carew [?1] I had
p2.15 | of spoken and to advertys him of your highness {mind:5} and [?1] the
p2.16 | [?3] of [?1] I {going:5} the [?6] to talk with him in
p2.17 | a [?2] place and [declaredde unto him your highness pleasure concer-]
p2.18 | [-ning] him, the Council [?1] and Carew whereunto [particularly] he made [?1] that they and [particularly] sent it
p2.19 | {me:1} [?1] a {servant:7} of [?2] [for that he sayde] {mus-:3}
p2.20 | -t {gi-:2} [?3] speak with Carew ere he {could:4} {take:4} {to:1} him
p2.21 | [the effect of his answer was these first] Carew [?1] him the Council [he knew already]
p2.22 | [?1] the {resolucion:10} taken betwen the Constable
p2.23 | and Carew [?6] [howbe it] he should that the Constable [being enformedde that]
p2.24 | Carew was departid. [?1] {Compiegne:9} of {satisfied:8}
p2.25 | had sent the lord [?16] to him to
p2.26 | [-dye him] meny fair words and to [shewe him that] the rebels' band [shulde have]
p2.27 | [theyr] {wages:4}. Carew he [?1] of the {commission:9} and that the Constable
p2.28 | [wolde needes have] Carew retourne to [?1] of [?2] should [he colde not]
p2.29 | [tell what] to {deliberacion:12} {might:6} be t-
p2.30 | -aken whereunto the rebels [as soon as he came] {learnes:6} the Emperor of it he should I {to:1}
p2.31 | [?3] be advertsid of it and he should that [he came not] {t-:1}
p2.32 | tary [?2] [first] {the:1} lack of money {paying:6} [?2]
# measured (measure_v3 logic, v4 nulls, transcription_v4_p12.txt): 1394 non-null cipher signs on p1-2; unread 303; read 1091 = 78.3% (of which tentative 359; firm 732 = 52.5%)
