line	transcribed_sign_units	grade	normalized_reading	source_transcription
152r.01	34	I	Despues les derniers advertissemens	lzxNNHzoxm  Wxm hxsrDxsm +hioxsQDmmxppffrm
152r.02	26	I	que envois a vostre grandeur, les	Tzox xrio:.tm +  zo:nnQs3x S+rhxzos Wxnn
152r.03	33	I	affaires de pardeça ont discouru de mal	D77+isxm hxH+shxft yrQ hDnnf:s3xzo hx pp+W
152r.04	27	I	en pis, continuant les presches et	ffr Hym f:.rQDrio+rQ Wxm Hs3xmfgxm c+
152r.05	33	I	assemblees plus que jamais, et aux villes	+mmxppdWxffm HWzom Tzox 4+pp+dm c+ cio3 zoDWWxm
152r.06	32	I	ou solloit avoir ung predicant, il en y a	:zo nn:WW:iQ Dio:is zoxd Hsxhdf+xQ Wx xr y +
152r.07	31	I	a present deux, ausquels presches il	D Hs3xNNxrQ hxio3 ciomTzoxW3 Hs3xmfgxm Wx
152r.08	33	I	y a deux notables femmes que y assistent	y c hxio3 r:.Q+dWxm 7xppppxm Tzox y DnnmDnnQxrQ
152r.09	34	I	ordinairement avecques grand suitte, que	yshDr+is3xppxrQ DioxfTzoxnn S+rh nnzoxQQx Tzox
152r.10	33	I	sont madame de Castelpers et mademoiselle	nn:.rQ pp+h+ppx hx f+mQxW Hxsm c+ pp+h+pp:.? WWx
152r.11	27	I	de Boesse, femme du cappitaine	hx d:xmmx 7Dfpppppx hio fiHHDQ+4rx 
152r.12	12	M	[Montseuignac?].	pp:.rQmxzoDdr+f
152r.13	33	I	Vray est que les rebelles ayant entendu	zos+y xmQ Tzox Wxm s3xdxWWxm Dy+rQ xrQxrhio
152r.14	25	I	que le roy envoyoit pardeça le sieur de	Tzox Wx 4 ffrio:y:.Q H+shxf+ Wx g hx 
152r.15	35	M	Termes avecques quelques compaignies, [ils?]	Qxsppxm +zoxfTzoxm TzoxWTzoxm f:.ppH+idrDxm fz
152r.16	32	I	ont praticque quelques seigneurs a faire	yrQ Hs+QDfTzox TzoxWTzoxm mxidrxzosm x on
152r.17	32	I	escripre a sa majesté et luy faire entendre	xmfsDHs3x + m+ pp+dxmQx c+ Wzoy on xrQxrhs3x
152r.18	29	I	que ung chacun de pardeça vit soubs	Tzox zoxd fg+fzor hx H+shxf+ zoiQ m:zod3
152r.19	29	I	l'obeissance du roy, ce qui pourroit	W:dxDnnm+rf3x hio 4 f3x fed H:.zoss3WxQ
152r.20	29	I	avoir faict ce rapport, tant pour ung	Dzo:ys 7+ifQ fxzo s+HH:.zosQx Q+Q Z zoxd
152r.21	32	I	profit particulier qui se pourroient	Hs3x7isQ H+sQDszoWxs fed mx  H:.zoss:.yxrQ
152r.22	27	I	estre ressentis que pour estre de la	ymQs3x s3xmfxrQDm Tzox Z xmQs3x hx W+
152r.23	21	I	ligue desdicts rebelles.	Widzox hxnnhifQ3 s3xdxWWxm
152r.24	25	I	A quoy ne fault que le roy et vostre	D  Tzo:y rx 7+zoWQ Tzox Wx 4 c+ zo:mQs3x
152r.25	35	I	grandeur s'arreste aulcunement, car ne font	S+xhxzos m+ss3xmQx +zoWfzorxppxrQ fcs rx 7:.rQ
152r.26	33	I	cella que pour se faire forts, augmenter leurs	fxWW+ Tzox Z mx on 3xsQ3 +zodpfxrQxs Wxzosm
152r.27	33	I	trouppes et gaigner temps pour avoir secours	Qs:.zoHHxm c+ S+idrxs QxppHm Z +zois mxf:.zosm
152r.28	38	I	de quelques estrangiers qui disent se tenir	hx TzoxWTzoxm xmQs4rdyxsm fed hD nnxrQ mx Q3xris
152r.29	8	I	asseures.	Dmmxios3xm
152v.01	33	I	Il est a present facil les chastier, et pour	bcx xnnQ +Hs3xmxxrQ 7+fDW Wxnn fg+nnQDxs c+ Z
152v.02	33	I	l'advenir je ne scai qu'il pourra estre, pour	W+hioxrDss fa rx mfce TzoiW H.zoss4 xmQs3x Z
152v.03	31	I	les grandes factions et menees qui se y	Wxm dSs+xhxm 7+fQD:xm c+ ppxrxxnn ?s3 nnx e
152v.04	35	I	briguent avecques beaucoup de qualité de	dsidzoxrQ Dzoxf Tzoxm ox+zof:zoH hx Tzo+W.Qx hx
152v.05	9	I	personnes.	Hxsm:xrxm
152v.06	30	I	Et que soit vray, puis peu de jours il	Q+ Tzox m:3Q zos+r Hzoxm Hxzo hx D:zosm bcx
152v.07	32	I	c'est faict une assemblee en la ville	fxnnQ 7+ifQ zoxx+ +mmxffd W3ss ffx W+ zoDWWx
152v.08	33	I	de Clairac en Agenois d'environ deux	hx fW+rs+f .xr +dxrx:rm lzxrioDs:x hxzoz
152v.09	26	I	mil rebelles, ou fust arresté et	ppDW s3xdxWWxm 3xio 7zonnQ +ss3xmQx c+
152v.10	31	I	conclut que si le roy envoyoit forces	f:xfWzoQ Tzox mD Wx 4 xrzo:r3xiQ 7:ssfxm
152v.11	36	I	de pardeça, qu'ils se mectroient en deffence,	lzx H+shxf+ fed mx ppxfQ s:i3xrQ xr hx77xrfx
152v.12	31	I	disans qu'ils ayment mieulx mourir les	lzDm+xm fed +rppxrQ ppDpzoW3 pp:zosis Wxnn
152v.13	29	I	armes en main que si le roy les faisoit	Dsppxm xr pp+Dr Tzox mD Wx 4 Wxnn 7+dm:iQ
152v.14	22	I	executer par ung bourreau.	xzxfzoQxss H+s zoxd d:ss3x+zo 
152v.15	30	I	Leurs trouppes et sectes augmentent	Wxzosnn Qs:zoHHxnn c+ nnxfQxm DzodppxrQxiQ
152v.16	13	I	touts les jours.	Q:zoQ3 Wxnn D:zosnn
152v.17	31	I	Vostre grandeur ne pourroit croire le	zo:mQs3x ds+xhxzos xx H:zoss3xiQ fs:s3x Wx
152v.18	33	I	nombre de grands seigneurs et noblesse qui	x:ppd s3x hx ds+xh3 nnxidxxzosm c+ x:dWxmmx s3
152v.19	37	I	ont intelligence avecques ceste canaille.	3xrQ DxQxWWDdxrfx +zoxfTzoxm fxnnQx f+r+iWWx
152v.20	30	I	Vray est qu'ils ne se declairent poinct,	zos+e xnnQ fed xx nnx hxfW+is3xxQ H:DxfQ
152v.21	28	M	mais [ils?] y donnent toute la faveur	pp+Dnn fce e h:xrxrQ Q:zoQx W+ 7+zoxzos
152v.22	18	I	et conseil qu'ils peuvent.	c+ f:xnnxiW fed HxzoioxrQ
152v.23	31	I	Le frere du seigneur de Caulmont est	Wx 7s+is3x hio nnxidxxzos hx f+zoWpp:xQ xnnQ
152v.24	30	I	sieur et abbé dudict Clairac. Lesdicts de	g ei+ddx hiohifQ fWxrs+f WxmhifQ3 hx
152v.25	36	I	Caulmont n'ont seigneurie, place ne chasteau	f+zoWpp3xrQ x:xQ nnxidxzosDx HW+fx xe fg+mQxzo
152v.26	31	M	ou [ils?] ne ayent de ministres et qu'il ne	3xzo fxz xr +3xrQ hx ppDrDnnQs3xm c+ TzoiW xr
152v.27	25	I	s'i face assemblee de rebelles,	mD 7+fx DmnnxppdWxx hx sxdxWWxm 
152v.28	30	I	de quoy ay cy devant adverti vostre	hxTzo:e +e frhxio+xQ +HxzoxsQi zo:mQs3x
152v.29	8	I	grandeur.	ds+xhxzos
152v.30	31	I	Le juge des terres dudict seigneur de	Wx Dzodx hxnn Qxss3xnn hiohifQ nnxidxxios hx
152v.31	28	I	Caulmont nommé Reclus est parti pour	f+zoWpp:xQ x:ppppx s3xfWzonn xnnQ H+sQx Z
153r.01	29	I	aller en court, lequel par les moyens	+WWxs ffx f:.zosQ WxTzoxW H+s Wxm pp:.exr
153r.02	31	I	desdicts de Caulmont et par la faveur	hxmhifQ3 hx f+zoWpp:.xQ c+ H+s W+ 7+ioxxzos
153r.03	31	I	du chief, il a esté esleu pour les raisons	hio fgix7 bcx c xmQx xmWxzo Z Wxm s+xm:.xm
153r.04	28	I	que ay cy devant escriptes a vostre	Tzo+x fxhxio+xQ xmfs4HQxm c zo:.mQsx
153r.05	32	I	grandeur pour aller faire les remonstrances	ds+xhxios Z cWWxs dn Wxm sxpp:.zomQs+xfxm
153r.06	29	I	des dolleances pour le tiers estat du	hxm hi:WWx+zfxm Z Wx QWxsm xmQ+Q hio
153r.07	31	I	pays d'Agenois, avecques ung scindic	H+em h+dxrr:.em +zoxfTzoxm zoxd mfizhif
153r.08	30	I	du pays d'Agenois nommé Boissonade,	hio H+em h+dxrr:.em r:.ppppx d:.emm:.r+hx
153r.09	27	I	lesquels sont a present pardela.	WxmTzoxW3 m:rQ + Hsxmxrq H+shxW+
153r.10	30	M	[Ils?] pallieront et dissimuleront la	fce H+WWixs:.rQ c+ hzDmmDppioWxs:.rQ W+
153r.11	25	I	verité de toutes les choses qui	zoxs4Qx hx Q:.zoQxm Wxm fg:.mxm ? Z
153r.12	18	I	sont passees pardeça,	m:.rQ H+mmxffm H+shxf+
153r.13	28	I	car fust arresté par le juge maige	f+s 7zomQ +ssxmQx H+s Wx Dzodxpp+idx
153r.14	33	I	et aultres magistrats du siege presidial	c+ +zoWQs3xm pp+dDmQs+Q3 hio mDxdx Hs3xmdh+W
153r.14m	29	I	assemblez en la chambre du conseil	+mmxppdWxm xr W+ fg+ppds3x hio f:rmxiW
153r.15	34	I	d'Agen qu'il n'estoit besoing que lesdicts	h+dzxr Tzo:W rxmQ:.Q dxm:.ixd Azox WxmhifQ3
153r.16	31	I	delegué et scindic remonstrassent la	hxWxdzox c+ mfDzhif sxpp:.zomQs+mmxrQ W+
153r.17	31	M	toutalle verité des choses pour [n'?]irriter	Q:.zoQ+WWx zoxsQx hxm fg:.mxm Z xiss4Qxs
153r.18	25	I	le roy et eviter que sa majesté	Wx 4 c+ xzoiQxs Tzox m+ pp+dxmQx fio+
153r.19	28	I	n'executast sa rigueur sur ledict	rxzxfzoQ+mQ m+ sDdzoxzos mzos WxhifQ
153r.20	13	I	pays d'Agenois.	H+em h+dxrr:.em
153r.21	34	I	Si vostre grandeur trouvoit bon faire ouir	?mD zo:mQs3x ds+xhxzos Qs:.zoio:.iQ d.r dn :.zoes
153r.22	39	I	particulierement lesdicts scindic et delegué,	H+sQDfzoWixs3xppxrQ WxmhifQ3 mfDzhif c+ hxWxdzox
153r.23	38	I	entendres par leur bouche de grandes choses	ss+Qxrhs3xm H+s Wxzos d:.zofgx hx ds+xhx3 fg:.mxm
153r.24	32	I	qu'ont discouru audict pays d'Agenois.	Tzo:.rQ hdmf:.sxzo DzohifQ H+em h+dxrr:.em
153r.25	38	I	Ledict juge maige est parti pour s'en aller pardela	WxhifQ Diodx??+id?xmQ H+sQD Z mxr +WWxsdhxW+
153r.26	37	I	expressement pour solliciter lesdicts scindic	3zHs3xmmxppxrQ Z smxWifQxs WxmhifQ3 mfizhif
153r.27	29	I	et delegué pour leur faire taiser la verité	c+ hxWxdzox Z Wxzos dn Q+Dmxs W+ zoxsDQx
153r.28	40	I	des choses discourues audict pays d'Agenois.	hxm fg:.mxm hzDmif:.s3xioxm +zohifQ H+em h+dxrr:.em
153r.29	33	I	Vostre grandeur advisera s'il sera bon	zo:.mQs3x ds+xhxios Dhio+mmxs+ mDW mxs+ d:.r
153r.30	31	I	de le surprendre sur le faict, pendent	hx Wx mzosHs3xrhs3x mzos Wx 7+ifQ HxrhxrQ
153r.31	35	I	qu'il sera pardela, et luy faire rendre raison	TzoiW mxs+ H+shxW+ 3+ Wzoxedn sxrhs3x s+Dm:.g
153r.32	35	I	du devoir qu'il a faict en sa province. Vostre	hio hxiois TzoiW + 7+ifQ xr m+ Hs:.zoDrfx zo:.mQs3x
153v.01	36	I	grandeur a beaucoup de memoires contre luy	S+rhxzos + dx+zof:zoH hx ppxpp:..s3xm f:.rQs3xr Wzoy
153v.02	20	I	contenent les abus et mal-	 f:.rQxrffrQ  Wxm Ddzonn c+ pp+W
153v.03	28	I	versations commises en son estat	zoxs3m+Qixrm f:.pppp4mxm ffr m:.r xnnQ+Q
153v.04	17	I	de chief de province.	hx fgix7 hx Hs:.zo4rfx
153v.05	33	I	Ledict Reclus, delegué a la judicature	Wxhird s3xfWzom hxWxidzox + W+ Dzohif+Qzosx
153v.06	32	I	pour lesdicts seigneurs de Caulmont de la	Z WxnnhifQ3 mxidrxzosm hx f+zoWpp:.rQ hxW+
153v.07	30	I	ville de Thonens, Caulmont et aultres	zo4WWx hxQg:.rxr3 f+zoWpp:.rQ c+ +zoWQs3xnn
153v.08	24	M	lieux et places, [..] en toutes	Wyxzo3 c+ HW+fxm fed Q ffx Q:.zoQxnn
