# Cipher passages printed in Digges, The Compleat Ambassador (1655), 1570-73 letters.
# N = archive.org image number (bim_early-english-books-1641-1700_the-compleat-ambassador_digges-dudley-elder_1655,
# page/n{N}), p = printed page. Signs as Digges's founts render them; the same manuscript sign is often set with
# different sorts (0/ɔ/), 6/Ꮾ), so equalities below are not exact. "|n|" = boxed digit (cover-name marker or name code).
# Located by two page-by-page scans of all 457 images (22 Sept 2026); crops kept in the session scratchpad only.
N	p	letter	before	signs	after
39	26	Walsingham to Cecil 1570	le Sieur	ι σ t z c s ƌ ⊓ 7 □	seeming very much to mislike
56	43	Walsingham to Leicester 1570	had talk with	ω 9 6 0 τ ι	touching the opinion of the enterprise
66	53	Burghley to Walsingham 1570	I mean the	3 6 T s 4 t ı 0 3 0 - 0 ɥ ∫ l α c 6 z l	by the intelligence which he gave you
70	57	Burghley to Walsingham 10 Mar 1570	such as do not	7 ∩ ‖ • ħ y	in with φ that a meaneth n p Δ 4 m
79	66	Burghley to Walsingham 1571	Colly Weston, North-hampton	2 3 4 ♂ t 4 b π σ 6 υ 4 0	in this
123	110	Walsingham to Burghley June 1571	The |21|	6 2 7 4 ϱ ⊓ Ꮾ ⊓ ɥ	shewed me his Mistresses Letters
146	133	Burghley to Walsingham 2 Sept 1571	to call you truly the	3 3 6 8 tu	wholly added with a certain circumscribled
146	133	(same)	circumscribled	4 s ⊏ 4 7 7 ⊔ Γ □ ı 4 1 8	and if any of them
151	138	Burghley to Walsingham Sept 1571	smell that 258. Deep, whereas	t π σ 7 ⊥ □ 0 ⊏ σ ) σ 1 0 π 6 7 e 4 σ π π □ Δ t ∞ 28 at 740 ∞ F 7 9, 5 ℱ s	are at this time much perplexed
159	146	Burghley to Walsingham 20 Oct 1571	In Dover	7 o d m t m o t m	for surely
165	152	Burghley to Walsingham Dec 1571	I. Dover A. was never	s 4 a n u Ꮾ 6 t 4 0 7 ⌣ c t 6 4 Δ 4 4 5 6 v t q 6	then now
166	153	Burghley to Walsingham 7 Dec 1571	of Callais	4 w t H 3 4 3 1 π 7 4 1 6 0 D	whereof I never made A. privy
166	153	(same)	for the cause of	6 4 x σ 2 4 4 7	I am doubly troubled
178	165	Burghley to Walsingham 2 Feb 1572	Mather denieth not but that he was	a 8 2 0 6	and now saith he is a 0 2 1 0 6
202	189	Walsingham to Burghley 22 Apr 1571	they have seen	A z. with 1 T t ) 6 a
203	190	Walsingham to Burghley May 1571	with C. within the	♀ c 2 6 ɔ π ω 7 8 c 2 1 1
232	219	Burghley to Walsingham July 1572	that |3| reneweth the	in o A. D. F. |4|	whereby the last matter B |9|
260	245	Walsingham to Smith Sept 1572	And I do perceive that	3 1 1 2 Ꮾ ϖ Ꮾ ⊓ ∪ ∘ ω 4 φ ∪ Ꮾ 4 1 Ʒ 3 ✢ T Ꮾ ɔ H 2 Ꮾ ω 3 1 0 ω 0 Ʒ m Π ω 4 3 m Ꮾ π ∪ C u ∪	and therefore I hope her Majestie
260	245	(same)	establish things in such	8 Ħ 4 3 ǂ ∪ ω 4 Ꮾ v π 3 m 6 5 c Ꮾ ω d m 6 5 ∪ 6 ω d m 6 a n a ǂ H m ω 3 Ꮾ a s H 3 Ꮾ 3 m Ꮾ ɔ Ꮾ	and wil not suffer her to be abused
279	264	Burghley to Walsingham Sept 1572	cause of Religion	A C H E Rome A B Glasis	nevertheless ... perswade 3lca to like thereof
298	283	Burghley to Walsingham 3 Nov 1572	concerning Lions, Florence	H E I c 3 4 ∪ u ~	wherein I see strange dealing
298	283	(same)	there is here one York,	u 4 1 ɔ Π o τ ω s 1 ✢ 6 p ɔ	come as he saith, with Letters from Lyons
298	283	(same)	the danger of	s 9 ω |.|	and that if 3 would be so content, E would come
304	289	Burghley to Walsingham 7 Nov 1572 (= R8361)	The party	ṽ 1 ɔ π 8 t ω 5 1 6 p ɔ 6	remaineth here in London
316	301	Burghley to Walsingham 11 Nov 1572	attend at Harwich. Le the Port of	2 0 ǂ 6 ɔ Δ	The rest of things	= VALERY
318	303	Walsingham to Burghley Nov 1572	the ship may stay at	2 ɔ ǂ 6 r y	9 or 10 days	= VALERY
328	313	Walsingham to Burghley 20 Jan 1573 (= R8363)	departed hence to	2 ) ⌘ Ꮾ ) 4	with intention to imbarque there	= VALERY
342	327	Burghley to Walsingham Feb 1573 (= R8364)	a ship sent to	20 ǂ H Ꮾ )	ℵ imagining	= VALERY
342	327	(same)	to enquire	x. 7. D. H. m. 11. ⊏. 𝔗. ᘓ.	This you must think
