# BnF fr. 4715 no. 2, f. 2r (Gallica btv1b52509819x, canvas 17): Cardinal de Guise to Nevers, Soissons, 6 Oct 1586.
# Nevers-Piles cipher, ~29 cipher lines (~1,500 signs); the decipherment is written ABOVE each cipher line.
# Transcribed 22 Sept 2026 from the Gallica full-resolution image (4079 x 5720), line crops 1:1.
#
# STATUS: PARTIAL. The page was cut into line crops and all 29 lines were viewed; the words below are the ones whose
# cipher signs and interlinear could be aligned with confidence. The interlinear hand is cursive and abbreviated and
# is often not letter-aligned, so the rest of the page is not transcribed sign by sign here.
# Format: line | cipher signs (labels as orbais/NOTES.md) | interlinear / reading | values gained
#
01 | ʃ ⊡ θ 8 y ɔ b ⊡ æ | Jay receu vre | ʃ = jay (code), ⊡=r θ=e 8=c y=e ɔ=u b=v æ=e
01 | … ∇ θ … | … me faisiez paroistre … | ∇=m
02 | θ H W ce m x ÷ | encores | H=n W=c ce=o m=r(plain m) x̣=e ÷=s
02 | ⊡ y 8 x ɔ | receu |
02 | ◻ ce ◻′ φ x + y ÷ | nouvelles | ◻=n ◻′=u φ=u +=l
02 | 1 8 θ | de ce | 1=de
02 | ε ÷ θ q ooo | qui s'est | ε=qui q=s ooo=t
02 | o − q θ | passé | o=p −=a
02 | ∇ − 7 ω x y | madame | 7=d ω=a x=m
02 | φ ce q δ m y | vostre | δ=t
03 | ω ɔ m θ Δ | aurez | Δ=z
03 | ÷ b z g θ W ωoo | subiect | z=b g=i
03 | 7 θ q δ m æ | d'estre |
03 | q v δ 9 q o̵ | satisf[aict] | v=a 9=i
03 | 1 ⋕ ce ɔ ÷ | de nous | ⋕ (H with bars)=n
03 | + ce ɔ θ  3 ẋ θ ɔ | loue Dieu | 3=d ẋ=i
03 | Ω ω φ + δ − ◻ ooo | aultant | Ω = a/à ?
03 | 1 8 ce ◻ δ y ◻ ooo | de content |
04 | y ◻ δ æ ∇ θ ◻ ooo | (content)ement |
04 | 4 ce ẏ y | home | 4=h ẏ=m
04 | ε ƫ v ɔ ∇ ce ◻ 7 θ | qui soit au monde | ƫ = soit (code?)
04 | W ce ∇ y | come |
04 | + v ʃ | l'ay | (small ʃ = y / ay)
04 | ꟿ | tousjours | ꟿ = code tousjours
04 | 7 θ q 9 m y | desiré |
04 | e ʃ̄ z 9 θ ◻ | pour le bien | e = pour, ʃ̄ = le
05 | 8 m ∇ θ ◻ | comment (interlinear 'comme[nt]') | m = o (tailed m)
06 | ce Ƒ | or |
06 | δ θ ◻ g m | tenir |
06 | ∇ ω g ◻ ooo y ◻ … | maintenant |
06 | z 9 θ ◻  m y b ◻ ÷ | bien reun[y]s |
08 | … q m ∇ y ÷ | sommes |
12 | 1 ∇ 9 +  z θ + y ÷  δ ce [blot] y ÷ | de mil belles toiles |
12 | ε x m ◻ q … | qui monstrent | x=m, m=o confirmed
14 | v b 4 θ ɔ m y | a cest heure | b here = ceste? (code)
14 | − ÷ ce g q q ce ◻ ÷ | a Soissons |
14 | ce ɔ  H ce ɔ ÷  a θ m ce ◻ ÷ | ou nous ferons | a = f
15 | m θ ÷ o ce ◻ 8 θ ÷ | responces |
15 | n | et (interlinear &) | n = et (as Tomokiyo)
15 | ω 8 ooo g m ◻ ÷ | actions |
17 | ξ ∇ m ◻ 7 θ | le monde | ξ (ʃ with bars) = le
17 | ce ◻  H ce ɔ ÷ | on nous |
17 | 1 m θ b ◻ g ce ◻ | de reunion |
17 | n  q φ o + … | et suppl[ie] |
19 | q θ ◻ δ y ∇ θ ◻ δ | (con)sentement |
19 | ω ɔ m y ÷ δ y | au reste |
19 | n − ∇ ce ◻ v 9 ÷ | et a mon avis |
19 | 1 ∇ − 7 ω | de mada[me] |
20 | 1 ÷ ce g ÷ m ◻ ÷ | de Soissons |
20 | 1 + v o − g d | de la paix | d = x
20 | ξ° q θ a v 8 θ | le bien se face |
#
# Not aligned: lines 07, 09-11, 13, 16, 18, 21-29 in full, and the unaligned stretches of the lines above.
# Signs of no. 62 NOT found with a decipherment on this page: Ƃ (first sign of S1), τ (G), ʃ° (C), 'n a' as a pair (V2).
